ticker,sector,size_tier
KO,Consumer Staples,large
KOP,Materials,small
KR,Consumer Staples,large
KRC,Real Estate,mid
KRG,Real Estate,mid
KRMN,Industrials,small
KRYS,Health Care,mid
KSS,Consumer Discretionary,small
KTB,Consumer Discretionary,small
KTOS,Industrials,mid
KVUE,Consumer Staples,large
KWR,Materials,small
L,Financials,large
LAD,Consumer Discretionary,mid
LAMR,Real Estate,mid
LAUR,Consumer Discretionary,small
LAZ,Financials,small
LBRT,Energy,small
LCII,Consumer Discretionary,small
LDOS,Industrials,large
LEA,Consumer Discretionary,mid
LECO,Industrials,mid
LEG,Consumer Discretionary,small
LEN,Consumer Discretionary,large
LEU,Energy,small
LFST,Health Care,small
LFUS,Information Technology,mid
LGIH,Consumer Discretionary,small
LGND,Health Care,small
LH,Health Care,large
LHX,Industrials,large
LIF,Information Technology,small
LII,Industrials,large
LIN,Materials,large
LITE,Information Technology,large
LIVN,Health Care,mid
LKFN,Financials,small
LKQ,Consumer Discretionary,small
LLY,Health Care,large
LMAT,Health Care,small
LMT,Industrials,large
LNC,Financials,small
LNN,Materials,small
LNT,Utilities,large
LNTH,Health Care,mid
LOPE,Consumer Discretionary,mid
LOW,Consumer Discretionary,large
LPG,Energy,small
LPX,Industrials,mid
LQDA,Health Care,small
LQDT,Industrials,small
LRCX,Information Technology,large
LRN,Consumer Discretionary,small
LSCC,Information Technology,mid
LSTR,Industrials,mid
LTC,Real Estate,small
LTH,Consumer Discretionary,small
LULU,Consumer Discretionary,large
LUMN,Communication Services,small
LUV,Industrials,large
LVS,Consumer Discretionary,large
LW,Consumer Staples,small
LXP,Real Estate,small
LYB,Materials,large
LYFT,Industrials,small
LYV,Communication Services,large
LZ,Industrials,small
LZB,Consumer Discretionary,small
M,Consumer Discretionary,mid
MA,Financials,large
MAA,Real Estate,large
MAC,Real Estate,small
MAN,Industrials,small
MANH,Information Technology,mid
MAR,Consumer Discretionary,large
MARA,Information Technology,small
MAS,Industrials,large
MAT,Consumer Discretionary,mid
MATW,Consumer Discretionary,small
MATX,Industrials,small
MBC,Industrials,small
MBGL,Industrials,small
MBIN,Financials,small
MC,Financials,small
MCD,Consumer Discretionary,large
MCHP,Information Technology,large
MCK,Health Care,large
MCO,Financials,large
MCRI,Consumer Discretionary,small
